"id","userId","searchDate","networkCount","reason","caseNumber","offenseType"
"346c1048-48aa-40c6-8d8b-536d542255b6","***","2026-08-24T12:15:24.270Z","1158","Wanted Subject","2026002133","Wanted Person (Arrest Warrant/Fugitive)"
"2f5b3e0d-f1da-4d7b-8171-4723bc87f363","***","2026-08-24T12:25:08.622Z","1158","Shoplifting","2026006819","Stolen Property Offenses"
"6e3775c1-3ce5-43ca-aecb-c0df1679a670","***","2026-08-24T12:41:54.877Z","2","Malicious Injury","2026006799","Destruction/Damage/Vandalism of Property"
"9dbe228b-3c50-4150-9be5-501f680ffed2","***","2026-08-24T13:03:41.538Z","2","Shoplifting","2026006819","Larceny/Theft Offenses"
"a38e1226-f2e6-466a-9fd4-2b80bd26ca58","***","2026-08-24T19:01:13.234Z","2","Drug Investigation","2026006891","Trespass"
"4e0ae93c-2452-45db-b65c-015e2d4f9e4f","***","2026-08-24T19:18:01.846Z","1154","Drug Investigation","202600543970","Traffic Infraction"
"f2469b6a-57be-4dc3-bc8c-a827a80b7238","***","2026-08-24T20:39:15.650Z","2","Wanted Subject","beetle investigation","Destruction/Damage/Vandalism of Property"
"80f6ba2f-405d-4c6b-96d0-7ef1d017fce6","***","2026-08-24T21:21:47.480Z","1156","Stolen Vehicle / Tag","2026002260","Larceny/Theft Offenses"
"085791dc-53d4-45d3-acb9-b3f27defbcb8","***","2026-08-24T23:16:18.329Z","2","Shoplifting","2026006901","Larceny/Theft Offenses"
"eb66016e-b6de-406e-9ed9-23cb76e400d2","***","2026-08-25T10:12:15.452Z","2","Violent Crimes","Not created ye","Drugs/Narcotics"
"c19d501a-14bd-4233-b25b-15017c4be71b","***","2026-08-25T12:23:00.195Z","1156","Wanted Subject","2026006850","Wanted Person (Arrest Warrant/Fugitive)"
"09c68798-9bac-46d5-a6a2-785fac81843d","***","2026-08-25T12:55:31.390Z","1156","Stolen Vehicle / Tag","2026002260","Larceny/Theft Offenses"
"08ea1f8b-a3c7-4ad2-a3a8-3b3f885d8eb3","***","2026-08-25T13:08:21.720Z","2","Shoplifting","2026006901","Larceny/Theft Offenses"
"d6c7a66f-b116-4652-8b4c-44ac66262b88","***","2026-08-25T13:38:39.906Z","1083","Drug Investigation","G7-26-0017","Drugs/Narcotics"
"7c678b25-b405-4fc3-a2f7-3135fda56b69","***","2026-08-25T13:57:39.989Z","1156","Stolen Vehicle / Tag","2026002260","Larceny/Theft Offenses"
"eadbd573-3f96-493f-9ad9-aa40caa27f03","***","2026-08-25T13:57:54.957Z","1156","Shoplifting","202600552901","Larceny/Theft Offenses"
"8bd4511f-a8a4-426b-967f-529d876657f2","***","2026-08-25T14:00:01.552Z","1156","Shoplifting","202600552901","Larceny/Theft Offenses"
"0097d9a9-2f57-443f-9c1f-15cc732b0cd5","***","2026-08-25T14:01:40.982Z","1155","Shoplifting","2026006915","Larceny/Theft Offenses"
"9ec67d44-ca25-4609-b003-e2a6d92fd98e","***","2026-08-25T14:07:33.867Z","1083","Drug Investigation","G7-26-0017","Drugs/Narcotics"
"30d8a065-a4e0-4d99-84de-02e202182ac7","***","2026-08-25T14:35:19.446Z","1155","Stolen Vehicle / Tag","2026003310","Motor Vehicle Theft/Stolen"
"05351636-f380-4238-94e6-fdc72876cb4e","***","2026-08-25T20:45:27.926Z","1155","Drug Investigation","202600553833","Drugs/Narcotics"
"5bb89c2c-7461-45ae-9e49-984471876d68","***","2026-08-25T21:41:54.509Z","1155","Pointing & Presenting","2026003310","Missing/Endangered Person/Runaway"
"35f4b58c-b6e7-415c-952b-ecf5439c23a0","***","2026-08-25T22:00:18.652Z","1155","Pointing & Presenting","202600553895","Missing/Endangered Person/Runaway"
"d89365b4-1f9d-4e50-9cdd-47a3f2e4f08a","***","2026-08-25T22:06:07.374Z","1","Mental Health/Community Wellness","CAD 202600553895","Missing/Endangered Person/Runaway"
"8d45ef43-d8e5-4b2f-9a42-2788ff8f46d9","***","2026-08-25T22:52:07.913Z","2","Mental Health/Community Wellness","2026006930","Weapons Offense (Guns/Shots Fired)"
"bdb76617-f416-4167-9e7f-4e6074cb3ea7","***","2026-08-25T22:59:41.364Z","2","Domestic Disturbance","202600554016","Disorderly Conduct/Disturbance"
"631cfaa5-ca1d-46c7-9e37-c68313d09173","***","2026-08-25T23:01:20.820Z","1155","Mental Health/Community Wellness","CAD 202600553895","Missing/Endangered Person/Runaway"
"ebfa0b85-6c51-494d-ae6c-3398c6dcf366","***","2026-08-25T23:10:31.072Z","1154","Mental Health/Community Wellness","2026006930","Weapons Offense (Guns/Shots Fired)"
"4311af3b-bffa-4eb7-ad3e-25ff65880c66","***","2026-08-25T23:42:45.414Z","1","Hit & Run","CAD 202600553895","Hit and Run/Car Accident"
"21bd13e6-375e-4e5f-9696-837acc12e460","***","2026-08-26T00:10:29.423Z","1081","Mental Health/Community Wellness","2026006930","Weapons Offense (Guns/Shots Fired)"
"9cf59149-6653-4d10-b181-d3041cf59870","***","2026-08-26T00:14:02.399Z","1155","Mental Health/Community Wellness","2026006930","Missing/Endangered Person/Runaway"
"e475ee7b-0bcf-4933-8726-cae9456cefe2","***","2026-08-26T01:34:13.363Z","1155","Mental Health/Community Wellness","2026006930","Missing/Endangered Person/Runaway"
"64c9c369-1cb9-45d6-b632-638cb7ebe549","***","2026-08-26T11:26:29.675Z","2","Shoplifting","2026006915","Larceny/Theft Offenses"
"9e927d39-4b35-4299-bfdc-94dbe5d33709","***","2026-08-26T12:11:46.423Z","2","DUI","2026006925","Driving Under the Influence (DUI/DWI/OWI/OVI)"
"ff2bf8e4-a807-4e53-98a8-a97c033fc718","***","2026-08-26T20:52:28.469Z","1080","Drug Investigation","G7-26-0017","Drugs/Narcotics"
"5b5e5e9f-f76b-413a-98b2-c402e22489d0","***","2026-08-26T20:56:25.107Z","1151","DUI","202600556067","Driving Under the Influence (DUI/DWI/OWI/OVI)"
"ab253e70-eaa2-46a1-8824-bc40016082bc","***","2026-08-27T11:43:26.856Z","2","Wanted Subject","2026006850","Trespass"
"40901237-2a4d-4f92-bd55-aa0738024638","***","2026-08-27T13:01:32.886Z","2","DUI","2026006925","Driving Under the Influence (DUI/DWI/OWI/OVI)"
"a6e31ade-7740-45df-b533-9912621ef9db","***","2026-08-27T13:50:54.227Z","1","Malicious Injury","2026006875","Destruction/Damage/Vandalism of Property"
"a36a2c64-08ec-4edb-841e-4f99b0dd92cf","***","2026-08-27T14:00:04.841Z","1","Malicious Injury","2026006875","Destruction/Damage/Vandalism of Property"
"4688ddb6-8ea0-4617-b44b-11d08fe3667d","***","2026-08-27T15:09:23.520Z","2","Shoplifting","2026005198","Larceny/Theft Offenses"
"25db804b-213d-480e-8f08-49bbc1a9f42c","***","2026-08-27T15:36:00.433Z","1150","Theft","2026006913","Larceny/Theft Offenses"
"3c04fde7-a823-492e-93cc-b847a2a52696","***","2026-08-28T00:04:23.713Z","1148","Fraud","2026006275","Financial Crime (Embezzlement/Fraud)"
"3bd7e08e-7126-4b60-8f0c-c2fa4c6517ee","***","2026-08-28T02:55:19.603Z","1075","Hit & Run","202600558823","Driving Under the Influence (DUI/DWI/OWI/OVI)"
"de17c2e8-1e41-4172-9a07-ce1dc926be6e","***","2026-08-28T02:58:04.795Z","2","Hit & Run","202600558823","Hit and Run/Car Accident"
"0044c17f-d710-4b0f-907f-31c4bbcd5c13","***","2026-08-28T03:03:24.463Z","2","Hit & Run","202600558823","Hit and Run/Car Accident"
"2c1760fd-bbfc-4b4f-b5ca-ecf6ad8cb597","***","2026-08-28T04:50:58.415Z","2","Hit & Run","2026007009","Hit and Run/Car Accident"
"a2f3fba7-ccfe-426b-97bb-1a83400351bc","***","2026-08-28T10:36:08.372Z","2","Fraud","2026006275","Financial Crime (Embezzlement/Fraud)"
"fc7ba19d-0e97-436c-a164-261c6da53d8d","***","2026-08-28T10:53:26.843Z","1","Hit & Run","Camera vandalism test","Other"
"fb3c369c-1d10-4ab2-b363-03345c57893e","***","2026-08-28T15:45:19.076Z","1147","Shoplifting","2026007022","Larceny/Theft Offenses"
