"id","userId","searchDate","networkCount"
"760acd30-c0a4-4396-969a-fa2631c7ef54","***","2026-07-30T11:41:52.342Z","1"
"e6a4aef2-621e-4774-a334-f4b7a3d96ae4","***","2026-07-30T12:19:55.732Z","526"
"7e2aeafc-2da6-4ba3-b417-32d0212fe112","***","2026-07-30T12:25:48.963Z","526"
"be743115-bfe4-40fb-ba19-4abab2860f14","***","2026-07-30T13:43:32.701Z","526"
"777a63ea-1a89-4247-aac1-f632fbd6e7cd","***","2026-07-30T15:04:23.421Z","526"
"7dd7189c-31bd-43c3-b990-9cc2a9cdf7b9","***","2026-07-30T17:12:22.240Z","524"
"4cf6c7e7-fff4-42a9-a010-34898fb4bd98","***","2026-07-30T18:07:46.889Z","524"
"ca08fb50-293f-482b-8962-803a79174d3c","***","2026-07-30T21:11:52.338Z","1"
"e780213e-6aab-4eaf-9c23-47bb14855439","***","2026-07-30T21:37:42.046Z","1"
"230658b9-b1be-4cdd-ae2e-0a1845c41e23","***","2026-07-31T16:07:06.265Z","524"
"e9121d07-a3ec-417e-a4d5-48f7fc594548","***","2026-07-31T16:21:33.280Z","524"
"9f77b2d8-4b8b-4c9a-ab40-50a4947c8572","***","2026-07-31T16:33:56.758Z","524"
"899f7b30-c89d-4cad-a629-64e6ad1daad2","***","2026-07-31T20:58:46.990Z","1"
"50727419-436f-446c-ac53-fdba4cefb147","***","2026-08-03T14:02:27.715Z","1"
"2feff475-be71-4dac-96b2-b98f1dc27cc7","***","2026-08-03T14:20:50.570Z","524"
"abc22772-72db-48a4-8abe-c5b7b1a1a84d","***","2026-08-03T16:36:17.036Z","524"
"1d5eca48-2e38-4d33-ac81-07f35f994204","***","2026-08-03T17:00:07.913Z","1"
"3e7f03a1-9ec7-4e8d-96a3-7d4d6627ec34","***","2026-08-04T01:58:11.066Z","524"
"acc9bfd8-9bc4-4030-bae2-897c618d1b83","***","2026-08-04T14:18:36.839Z","524"
"b88019ad-baa4-478d-b888-bf12e9e8e081","***","2026-08-04T15:42:32.096Z","1"
"3b05e989-c23b-40bd-9928-ea6c38bcc211","***","2026-08-04T15:48:51.536Z","524"
"560a1b91-d41c-4f51-ba12-4d2e4a6c453d","***","2026-08-04T17:11:18.398Z","1"
"8b9fff2c-8021-4593-bc84-45fa2a3482c6","***","2026-08-04T18:28:34.015Z","524"
"0cc368bc-0385-4f17-8e44-7bb5f2984536","***","2026-08-04T19:22:10.308Z","1"
"7eb77313-d164-4c4e-95d5-9de43d9c6b68","***","2026-08-04T19:58:17.882Z","1"
"41644830-d4ac-4328-bc94-a08ab192eaa9","***","2026-08-05T01:28:00.218Z","524"
"8303be4d-bb01-48d4-8ee7-1fd5e410a56b","***","2026-08-05T02:35:35.655Z","524"
"4ba56c34-783a-4c0a-a85c-44b8b4aa7955","***","2026-08-05T13:05:54.876Z","1"
"45b271d9-4dc6-4208-8167-12ec4ed8b717","***","2026-08-05T19:37:53.272Z","1"
"676b1f55-d77d-4e73-a22d-74eec3d885f3","***","2026-08-05T21:35:19.437Z","524"
"a2c5f1aa-8c3a-487e-8422-0f19312f8be7","***","2026-08-06T13:34:32.817Z","1"
"14df335b-cc32-49b1-9a59-98d04bd84919","***","2026-08-06T14:36:25.185Z","524"
"8dca15c4-2814-4874-bb49-bb03926ef702","***","2026-08-06T17:19:53.792Z","524"
"73d0c592-06cc-49ba-9015-fb14c386f7b0","***","2026-08-07T15:32:18.552Z","524"
"b14482d2-f8ec-40e7-95d6-1dd168974a27","***","2026-08-07T16:19:40.635Z","524"
"5680342a-1f86-4088-b62a-d5a7128612ff","***","2026-08-07T17:29:44.389Z","1"
"da968efd-b258-465c-8e14-f2d72ae73998","***","2026-08-08T21:15:03.268Z","524"
"8e49afbc-72b9-4993-a847-9c343753a87c","***","2026-08-08T23:18:00.449Z","524"
"68bcd831-6b1e-4c30-8de8-0a2eecbc335f","***","2026-08-10T14:05:25.512Z","524"
"1f5dfe23-ffb8-451a-abd8-8cfacbf5cf55","***","2026-08-10T15:26:56.215Z","530"
"91f896b4-6b08-430a-b9e4-9355d2e45354","***","2026-08-10T17:45:27.467Z","524"
"23dc5219-74a2-4efe-b749-5b1d53f20b5a","***","2026-08-10T18:13:02.151Z","524"
"2d84a9c6-b40e-4278-ba4f-3b76a1a39e1f","***","2026-08-11T12:05:48.150Z","530"
"a8f02efb-45b6-4a16-a83a-bc62ff9528bc","***","2026-08-11T13:28:41.024Z","530"
"2d9e9de1-4979-495c-b276-18d155589e9d","***","2026-08-11T16:08:05.142Z","523"
