"id","userId","searchDate","networkCount","caseNumber","offenseType"
"c480a444-8e16-4370-ae92-b7d1a1b3d739","***","2026-07-16T18:30:28.050Z","2","2607P-3521","Hit and Run/Car Accident"
"6199d0d9-d38c-4d04-9bb5-6a1b60569505","***","2026-07-16T18:41:54.390Z","1352","2607P-3521","Hit and Run/Car Accident"
"31bc8adf-682d-4e70-851b-c3c82ef81c6d","***","2026-07-16T19:07:19.962Z","1359","2607P-3521","Hit and Run/Car Accident"
"6e87cc78-6c72-466b-bf2d-56ded5e14954","***","2026-07-16T19:11:39.798Z","1359","2607p-3521","Hit and Run/Car Accident"
"8a211615-0f11-4f8e-ba1f-d7588ca6e024","***","2026-07-16T19:22:26.936Z","1243","Cv261970002","Drugs/Narcotics"
"0b556351-b1c6-4ff7-a142-0965c53f1ed6","***","2026-07-16T19:26:23.102Z","2","2607P-3521","Hit and Run/Car Accident"
"85b60189-6859-454d-a245-d0b904d94905","***","2026-07-16T19:26:31.037Z","1352","2606c-3191","Stolen Property Offenses"
"bb9a0ed5-0fbd-4404-9a6d-d5e4120c3fea","***","2026-07-16T19:47:34.018Z","1243","2605p-6506","Drugs/Narcotics"
"56683855-7508-41cd-9c02-be85a06f34d1","***","2026-07-16T20:04:42.664Z","1359","2607p-3521","Hit and Run/Car Accident"
"64b60e7e-22d7-4b60-a5c4-7d831ddfc61a","***","2026-07-16T20:16:17.987Z","3","2606p-6021","Stolen Property Offenses"
"f0f28f24-a3b4-4d98-84d2-0c183609bd3d","***","2026-07-16T20:30:33.396Z","2","2607P-3521","Hit and Run/Car Accident"
"fd4d9e85-8012-4d97-adc5-80d073efc716","***","2026-07-16T20:42:22.666Z","1","2607P-3521","Hit and Run/Car Accident"
"507bba08-8121-4b9a-b6fe-e7a142d1f0c5","***","2026-07-16T20:42:58.261Z","3","2607P-3521","Hit and Run/Car Accident"
"c579614c-2da2-4742-b404-684f0a8ddaf6","***","2026-07-16T20:44:14.231Z","1","2607P-3521","Hit and Run/Car Accident"
"c117641b-0243-4242-a6dc-9a7f40c2d863","***","2026-07-16T21:02:35.135Z","1243","Cv261970002","Drugs/Narcotics"
"81cc37a5-28db-44b3-b285-bc8a172091f5","***","2026-07-16T21:09:07.052Z","2","2607P-3521","Hit and Run/Car Accident"
"f55b9e99-7768-4fc2-8dbb-14c9e9ae9a62","***","2026-07-16T21:18:17.713Z","1359","2607P-3690","Hit and Run/Car Accident"
"e0af0197-11d7-4c6f-bfcb-b53dee742e6d","***","2026-07-16T21:41:43.765Z","3","2606P-5149","Assault/Battery Offenses"
"4dc0b276-07a1-403f-8895-3314b1fe6fbd","***","2026-07-16T22:00:32.263Z","3","2607P-3521","Hit and Run/Car Accident"
